year,surface_air_temp_anomaly,co2_ppm
1880,-0.52,290.8
1881,-0.50,291.4
1882,-0.41,292.0
1883,-0.42,292.5
1884,-0.71,292.9
1885,-0.57,293.3
1886,-0.71,293.8
1887,-0.73,294.0
1888,-0.51,294.1
1889,-0.26,294.2
1890,-0.62,294.4
1891,-0.61,294.6
1892,-0.55,294.8
1893,-0.59,294.7
1894,-0.46,294.8
1895,-0.39,294.8
1896,-0.34,294.9
1897,-0.24,294.9
1898,-0.41,294.9
1899,-0.33,295.3
1900,-0.18,295.7
1901,-0.18,296.2
1902,-0.39,296.6
1903,-0.45,297.0
1904,-0.57,297.5
1905,-0.38,298.0
1906,-0.27,298.4
1907,-0.57,298.8
1908,-0.42,299.3
1909,-0.44,299.7
1910,-0.37,300.1
1911,-0.40,300.6
1912,-0.37,301.0
1913,-0.38,301.3
1914,-0.12,301.4
1915,-0.11,301.6
1916,-0.34,302.0
1917,-0.56,302.4
1918,-0.46,302.8
1919,-0.22,303.0
1920,-0.30,303.4
1921,-0.20,303.7
1922,-0.28,304.1
1923,-0.29,304.5
1924,-0.25,304.9
1925,-0.27,305.3
1926,-0.06,305.8
1927,-0.19,306.2
1928,-0.11,306.6
1929,-0.34,307.2
1930,-0.17,307.5
1931,-0.09,308.0
1932,-0.11,308.3
1933,-0.24,308.9
1934,-0.09,309.3
1935,-0.22,309.7
1936,-0.08,310.1
1937,0.01,310.6
1938,0.07,311.0
1939,-0.11,311.2
1940,0.08,311.3
1941,0.04,311.0
1942,0.05,310.7
1943,0.00,310.5
1944,0.06,310.2
1945,-0.08,310.3
1946,-0.06,310.3
1947,0.05,310.4
1948,-0.06,310.5
1949,-0.10,310.9
1950,-0.20,311.3
1951,-0.06,311.8
1952,-0.02,312.2
1953,0.06,312.6
1954,-0.13,313.2
1955,-0.13,313.7
1956,-0.23,314.3
1957,0.02,314.8
1958,0.07,315.34
1959,0.04,316.0
1960,-0.02,316.9
1961,0.09,317.6
1962,0.02,318.5
1963,0.02,319.0
1964,-0.25,319.6
1965,-0.17,320.0
1966,-0.07,321.4
1967,-0.02,322.2
1968,-0.10,323.0
1969,0.01,324.6
1970,0.07,325.7
1971,-0.07,326.3
1972,-0.02,327.5
1973,0.22,329.7
1974,-0.04,330.2
1975,0.01,331.1
1976,-0.18,332.0
1977,0.21,333.8
1978,0.13,335.4
1979,0.20,336.8
1980,0.34,338.8
1981,0.43,340.1
1982,0.13,341.4
1983,0.38,343.1
1984,0.20,344.7
1985,0.18,346.1
1986,0.24,347.4
1987,0.40,349.2
1988,0.50,351.6
1989,0.36,353.1
1990,0.52,354.4
1991,0.52,355.6
1992,0.23,356.4
1993,0.26,357.1
1994,0.38,358.8
1995,0.56,360.8
1996,0.49,362.6
1997,0.54,363.7
1998,0.83,366.7
1999,0.58,368.4
2000,0.56,369.5
2001,0.66,371.1
2002,0.78,373.3
2003,0.76,375.8
2004,0.67,377.5
2005,0.86,379.8
2006,0.75,381.9
2007,0.84,383.8
2008,0.63,385.6
2009,0.77,387.4
2010,0.89,389.9
2011,0.77,391.7
2012,0.76,393.9
2013,0.81,396.5
2014,0.86,398.6
2015,0.97,400.8
2016,1.23,404.2
2017,1.13,406.6
2018,1.05,408.5
